"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","1500","1599","1570","1612","1746","1866","1991","2008","2111","2030","2283","2399","2319","2201","3336","3044","3518","4479","3824","4333"
"Acre","1300","1448","1520","1545","1588","1495","1569","1493","1495","1531","1917","2077","2063","2230","2370","2738","2489","2461","2263","2561"
"Amazonas","1312","1465","1496","1501","1484","1694","1934","1841","1844","2038","2462","2397","2500","2488","2567","2506","2944","3135","2559","2516"
"Roraima","966","1300","1300","1505","1414","1800","2000","2000","2000","2000","2000","2000","2000","2000","2000","2547","2483","2974","3342","6254"
"Pará","1468","1597","1354","1561","1597","1840","1938","2011","2090","2060","2340","2296","2573","2570","2801","2777","2876","3319","3260","3266"
"Amapá","700","707","705","777","786","766","723","848","874","884","755","821","915","864","836","894","911","943","981","983"
"Tocantins","1638","1623","2072","1947","1974","2048","1993","2002","1918","2032","2598","3344","3393","3615","3825","3669","3699","3947","3592","3716"
"Maranhão","472","812","1007","996","1007","1082","1102","1070","1170","1272","1358","1499","1427","1695","1757","2614","2754","3060","2052","3515"
"Piauí","221","847","841","519","297","816","488","661","873","585","1135","1546","1193","1936","2860","1783","2749","2972","1464","3185"
"Ceará","262","747","1017","405","895","1052","579","496","1189","530","1114","779","316","1262","246","317","737","264","242","663"
"Rio Grande do Norte","501","317","617","208","695","686","695","464","657","549","729","643","399","661","402","622","562","375","382","302"
"Paraíba","259","317","739","420","615","739","446","401","855","460","661","556","156","399","426","621","421","239","185","355"
"Pernambuco","417","405","586","190","496","489","312","559","744","457","648","682","394","478","410","575","325","335","145","408"
"Alagoas","366","460","745","720","696","500","661","474","535","496","669","620","539","820","379","615","502","822","1508","1211"
"Sergipe","1180","1479","1107","863","652","1102","1488","1624","1326","1605","3644","4066","4123","3228","3557","4727","4691","3284","1591","4985"
"Bahia","1514","1717","1960","1774","1657","1805","2137","2089","1558","2187","2599","2840","3070","3281","4662","3698","4448","3815","3451","3836"
"Minas Gerais","2936","3044","3411","3325","3994","4229","4511","4612","4202","4619","5007","5113","5207","5553","6197","6132","5476","5609","5302","6405"
"Espírito Santo","2273","2386","2468","2464","2573","2578","2583","2662","1989","2440","2537","2578","2330","2380","2437","2545","2709","2292","2879","2836"
"Rio de Janeiro","1974","1947","1956","1872","2035","2144","2171","2282","2367","2223","2441","2451","2506","2486","2435","2362","2407","2630","2690","2990"
"São Paulo","3323","3134","2822","3741","3706","4247","4328","3809","4172","4634","4846","4781","5237","4208","5346","5381","5126","5803","5310","5871"
"Paraná","3558","3483","3297","4488","3987","5056","4426","4226","4656","5182","5335","4116","6011","5178","5524","5802","6185","6472","5406","6185"
"Santa Catarina","3372","3483","4122","4404","3876","5033","4157","3689","3892","5462","5712","5003","6275","6735","5541","6868","7217","7606","7022","8285"
"Rio Grande do Sul","2960","2422","2647","3666","2737","3833","2815","1537","3226","4378","3811","3174","4904","5250","3133","5398","5831","6509","6406","7298"
"Mato Grosso do Sul","3508","3690","2710","4063","3144","4333","3802","2711","3634","3458","3798","2602","4329","3760","5204","4925","5172","5785","3593","5361"
"Mato Grosso","2308","2539","2638","3249","3210","3625","3622","3337","3915","3718","4260","4920","4058","4041","5709","5908","5426","5980","4106","6258"
"Goiás","3810","4277","4357","4580","4636","5073","5059","4645","4743","4995","5632","5495","5448","5978","6740","6250","6469","6786","4339","6120"
"Distrito Federal","4697","4661","5115","4269","5458","5678","5666","6187","5929","6393","6707","7026","7529","8112","8153","7904","9347","8098","4168","7052"